Latitude, Longitude
37.7889566020, -122.3929107000
37.7917332024, -122.3918256012
37.7915389993, -122.3920834006
37.7908810066, -122.3931943329
37.7954382998, -122.4007322003
37.7904685018, -122.4057707020
37.7865877979, -122.3952255973
37.7963097998, -122.3975671993
37.7913682991, -122.3927201011
37.7878999011, -122.3907782991
37.7886930023, -122.4056442023
37.7915376023, -122.3926761017
37.7911012013, -122.3923851994
37.7876674988, -122.4003499017
37.7885007997, -122.4063397997
37.7884457977, -122.4076145978
37.7901242011, -122.3978858010
37.7891879984, -122.3969636017
37.7440000017, -122.4540012011
37.7713775997, -122.4087792018
37.7865679999, -122.4139748027
37.7864179023, -122.4113241990
37.7527580009, -122.4106641018
37.7527239983, -122.4112278015
37.7529017002, -122.4110353977
37.7524987989, -122.4108928998
37.7856986009, -122.4293053986
37.7809796006, -122.4681843982
37.7806840994, -122.4686987006
37.7806112998, -122.4703100992
37.7903941990, -122.4228033998
37.7856617988, -122.4295991005
37.7855052975, -122.4308484008
37.7864988995, -122.4184815005
37.7517034010, -122.4282062014
37.8015123018, -122.4120949988
37.8029724014, -122.4138847978
37.7526541994, -122.4123982002
37.7525984988, -122.4133088996
37.7524994974, -122.4149280989
37.7839696993, -122.4329110977
37.7753569976, -122.4204875973
37.7753521026, -122.4205255003
37.7753258002, -122.4207321980
37.7683541064, -122.4195609167
37.7682056025, -122.4201961977
37.8031176989, -122.4140969996
37.7991324001, -122.4407668018
37.7722790007, -122.4043364019
37.7715533011, -122.4056087022
37.7554223005, -122.4180757997
37.7706467983, -122.4047679973
37.7490393025, -122.4172242989
37.7774920025, -122.3997604025
37.7809851997, -122.3948395994
37.7808561017, -122.3947331996
37.7809253027, -122.3946455975
37.7714417995, -122.4241790936
37.7990377014, -122.3982474019
37.7818514974, -122.4653479007
37.7333752018, -122.3910458998
37.7825781972, -122.4666167979
37.7825543982, -122.4676805006
37.7643754025, -122.4664036014
37.7633902998, -122.4661858005
37.7390179996, -122.4154933018
37.7389754978, -122.4150528998
37.7389468987, -122.4144452007
37.8002999992, -122.4001061001
37.7825388068, -122.4686197155
37.7825092588, -122.4696915035
37.7828181990, -122.4656223019
37.7637046994, -122.4793731996
37.7389907025, -122.4138808974
37.7345515013, -122.4335460995
37.7347808973, -122.4338352026
37.7956190974, -122.3948544019
37.7828639028, -122.4678614994
37.7631767009, -122.4791561027
37.7636698027, -122.4815196989
37.7514340010, -122.4308469982
37.7515272022, -122.4311283005
37.7980651938, -122.3968837109
37.7762409978, -122.3891999030
37.7508616009, -122.4341420976
37.7879779980, -122.3880813994
37.7864772015, -122.3876566996
37.7861330015, -122.3881489017
37.7860824027, -122.3881529977
37.7827506018, -122.4703373459
37.7827067980, -122.4712760018
37.7822347012, -122.4837437977
37.7820097064, -122.4836059327
37.7819102992, -122.4857593996
37.7820535012, -122.4856368003
37.7614617021, -122.4349504986
37.7597972014, -122.4347957016
37.7597005022, -122.4349895974
37.7859368985, -122.3877000005
37.7830479023, -122.4606236981
37.7882254989, -122.3887875021
37.7829646979, -122.4624382013
37.7829329026, -122.4631304012
37.7810036008, -122.4773451981
37.7799902008, -122.4783447010
37.7758067985, -122.4938146991
37.7758994018, -122.4947999024
37.7760038057, -122.4145822171
37.7756458034, -122.4141331147
37.7955157989, -122.4232055021
37.7935062990, -122.4197378975
37.7829198995, -122.4135607981
37.7827999991, -122.4135241021
37.7964566004, -122.4052728002
37.7967777000, -122.4053372012
37.7951666982, -122.4082038009
37.7754710072, -122.4139138162
37.7751730026, -122.4135400169
37.7741767027, -122.4119850003
37.7862639994, -122.4129882024
37.7981509016, -122.4010453985
37.7888049007, -122.4134998002
37.7891148020, -122.4135645979
37.7893516020, -122.4136142020
37.7878545997, -122.4123935008
37.7886848998, -122.4123642982
37.7482514986, -122.4190208984
37.7738680978, -122.4140016024
37.7736392998, -122.4140076988
37.7734057017, -122.4137148016
37.7961790980, -122.3985936024
37.7986477976, -122.4086096973
37.7950344988, -122.4076442977
37.7752875005, -122.4126438011
37.7751120002, -122.4128655975
37.7923304019, -122.4062061028
37.7386996996, -122.4683804007
37.7965956003, -122.4238270984
37.7966792014, -122.4241451972
37.7877391976, -122.4219596998
37.7942156986, -122.4069933982
37.7914024022, -122.4069705994
37.7779832994, -122.4136692991
37.7879252982, -122.3966453017
37.7874195007, -122.3975750000
37.7908780024, -122.3973416981
37.7872604010, -122.3925230985
37.7938411002, -122.3965492004
37.7943201986, -122.3966464975
37.7937456974, -122.3989434016
37.7944296998, -122.3990893026
37.7909553003, -122.3959212002
37.7907891990, -122.3963953980
37.7944218990, -122.3975729995
37.7941934028, -122.3993274995
37.7941639991, -122.3995584992
37.7941167028, -122.3999293984
37.7884180983, -122.3991428015
37.7866810997, -122.3938564022
37.7866212026, -122.3934768976
37.7875345004, -122.4050640014
37.7882322994, -122.3954902028
37.7876320993, -122.3947401007
37.7664934982, -122.4197195021
37.7936190021, -122.4038719998
37.7896506012, -122.3947421011
37.7637718999, -122.4194536002
37.7636154991, -122.4196207018
